created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 11:39:25 +0000 2023;1724029196035559817;"This is still one of the most powerful speeches I’ve ever seen, mi God! Chills  #Gaza #CeasefireInGazaNOW  #IsraelTerrorism #Abhiya #Palestine_Genocide #FreePalestineFromIsrael #Hamas #GazaGenocide #Lebanon #Hezbollah #حزب_الله #أبوعبيدة  #WrongNumberMirza #cea #BreakingNews… https://t.co/cZJzysUKpI";35;56;312;618;en;1290949716482469888;1724029196035559817;Sachin12306395;https://twitter.com/Sachin12306395/status/1724029196035559817
Mon Nov 13 11:38:52 +0000 2023;1724029057728229740;"If you're in Solidarity with #Gaza anf against genocide in Gaza, please Retweet.";4;8;285;264;en;1329849976739012609;1724029057728229740;ahmedshameya995;https://twitter.com/ahmedshameya995/status/1724029057728229740
Mon Nov 13 11:38:16 +0000 2023;1724028902908006805;"Almost 2 year of full scale war in Ukraine and russians still bombing ukranian cities and killing ukranian childrens but u all seems don't give a f abt it. Thank you for supporting genocide for all who decided +  #MY_SHINee_WORLD  #RussiaIsATerroristState  https://t.co/31Rcktz9nN";12;1;104;351;en;932710184031604737;1724028902908006805;CarinaeNebula7;https://twitter.com/CarinaeNebula7/status/1724028902908006805
Mon Nov 13 11:37:38 +0000 2023;1724028746439745856;"An extraordinary admission of the real function of the ABC: they’ve effectively censored their own “democratic debate” show by excluding the public, because we hate genocide and would be too critical of the Israeli perpetrators. Thus, the “public” broadcaster takes a side.";2;6;52;235;en;548722010;1724028746439745856;ShpongledHard;https://twitter.com/ShpongledHard/status/1724028746439745856
Mon Nov 13 11:36:23 +0000 2023;1724028430797189523;"ill keep on saying it it’s crazy how he gets away with being a full-on racist and a genocidal supporter without a single form of serious consequences meanwhile arabs get harassed for simply being arabs and muslims to no ends and people lose their jobs for being against a genocide";0;4;107;311;en;1657088164249362437;1724028430797189523;enhacentric;https://twitter.com/enhacentric/status/1724028430797189523
Mon Nov 13 11:36:12 +0000 2023;1724028385943592999;"Patricia Karvelas hosted this segment as if genocide and ethnic cleansing of Palestinians are acceptable because Hamas took hostages.  She has framed this segment as Israeli lives are worth more than Palestinian lives. Terrible, racist segment #QandA";10;56;250;1032;en;119349331;1724028385943592999;HananDover1;https://twitter.com/HananDover1/status/1724028385943592999
Mon Nov 13 11:34:48 +0000 2023;1724028033365876793;"Suella Braverman has been replaced by the Israel genocide defender @JamesCleverly.";7;47;401;1287;en;558118066;1724028033365876793;DillyHussain88;https://twitter.com/DillyHussain88/status/1724028033365876793
Mon Nov 13 11:34:32 +0000 2023;1724027966479270380;"Israel declares ambulances as ‘legitimate targets’, claiming Hamas hides weapons &amp  fighters.  And now allege Hamas headquarters are under hospitals.  Counter to testimony of doctors, journalists, UN aid workers.  This genocide is intentional. The Hague must issue arrest warrants.";31;246;2005;3832;en;1088371662108676096;1724027966479270380;BeckettUnite;https://twitter.com/BeckettUnite/status/1724027966479270380
Mon Nov 13 11:29:08 +0000 2023;1724026608145539460;"meanwhile celebrities who support palestine have to walk on eggshells when they’re curating their posts as they try not to offend anyone and then you get people like this that are actively supporting a genocide and are acting as if zi0nism is a cutesy trend";12;2;2083;6208;en;1111584025821495297;1724026608145539460;cardiganfml;https://twitter.com/cardiganfml/status/1724026608145539460
Mon Nov 13 11:22:09 +0000 2023;1724024849432256687;"I can't believe that 11,000 +Palestinians have been carpet bombed, massacred, subject to genocide and @PatsKarvelas has made @iamthenas the bad guy. @abcqanda did you get the talking points from the lobby?";6;71;163;562;en;474467264;1724024849432256687;RandaAFattah;https://twitter.com/RandaAFattah/status/1724024849432256687
Mon Nov 13 11:21:56 +0000 2023;1724024793530245148;"block me if u support/ stan noah schnapp.i don’t want people who support a racist,homophobic genocide supporter on my account! thank u";1;6;120;296;en;1499791453224161280;1724024793530245148;littIefreakmay;https://twitter.com/littIefreakmay/status/1724024793530245148
Mon Nov 13 11:19:45 +0000 2023;1724024244986613839;""We commit genocide in the name of love" https://t.co/6NeebgTnld";7;32;88;331;en;1062174840914931712;1724024244986613839;One_Dawah;https://twitter.com/One_Dawah/status/1724024244986613839
Mon Nov 13 11:19:38 +0000 2023;1724024215718773045;"People are dead on the streets: hospital staff haunted by cries for help outside — no one is left to document the scale of the israeli genocide https://t.co/fZz0h7Bfyu";40;43;488;495;en;4249826728;1724024215718773045;swilkinsonbc;https://twitter.com/swilkinsonbc/status/1724024215718773045
Mon Nov 13 11:19:07 +0000 2023;1724024084697137283;""We are in a situation now in #Gaza, where we have genocide openly declared and carried out. where the numbers of civilians slaughtered and murdered in 30 days in Gaza exceeds the civilian death toll in #Ukraine." @claredalyMEP is always on point! https://t.co/dzkPk9pdzM";9;14;287;467;en;525989262;1724024084697137283;DenisRogatyuk;https://twitter.com/DenisRogatyuk/status/1724024084697137283
Mon Nov 13 11:16:51 +0000 2023;1724023517241364606;"@edballs @GMB You are facilitating genocide. Any defence in any way of the actions that cause genocide add to the wider narrative of justification. I’m tired of pompous pricks like you sitting in comfortable offices and pontificating on the merits of war crimes. You are the very worst of us.";0;5;88;443;en;966050884886155264;1724003810392105271;ecomarxi;https://twitter.com/ecomarxi/status/1724023517241364606
Mon Nov 13 11:14:04 +0000 2023;1724022815136092460;"@Mlooper1987 @H1TWOM4N lets not pretend america bombed serbia out of the goodness of their hearts. if it really wanted to stop a genocide, it would've stopped so many other genocides that happened in the late 20th century. serbia's aims just happen to go against US strategic interests in the region";0;5;2;211;en;1971298669;1723933592982560789;ansyul;https://twitter.com/ansyul/status/1724022815136092460
Mon Nov 13 11:13:20 +0000 2023;1724022631601463549;"‘zionism is sexy’ so you find colonialism, ethnic cleansing, and genocide sexy? you find the murder of over 10,000 innocent civilians sexy? you find the bombing of hospitals, mosques and churches sexy? oh noah schnapp the burning pits of jahannam awaits you";1;0;269;1094;en;1642497565865259008;1724022631601463549;lewc4des;https://twitter.com/lewc4des/status/1724022631601463549
Mon Nov 13 11:11:03 +0000 2023;1724022054620729823;"Mark Liebler is an incredible person to watch if you want to see how a settler coloniser genocide apologist can genuinely believe his own lies  #qanda";2;49;116;532;en;474467264;1724022054620729823;RandaAFattah;https://twitter.com/RandaAFattah/status/1724022054620729823
Mon Nov 13 11:10:31 +0000 2023;1724021920369148224;"Genocide isn't kosher!  We Jews have been the victims of ethno-nationalism ourselves. We're appalled when we see nationalists commit crimes against others.  NOT IN OUR NAME!  #IsraelTerrorism #Gaza https://t.co/muzNObYvfa";7;8;79;180;en;149797759;1724021920369148224;JossSheldon;https://twitter.com/JossSheldon/status/1724021920369148224
Mon Nov 13 11:08:12 +0000 2023;1724021339583881685;"#Palestinian children in Nablus call for boycott of these brands for their support of the ongoing #Israeli genocide campaign in Gaza.   #Hezbollah #أبوعبيدة #Israel #طوفان_الأقصى #IsraelTerrorism #CeasefireInGazaNOW #Lebanon  #FreePalestineFromIsrael #Gaza #Palestine https://t.co/s7hy7kxeVO";18;35;192;301;en;2907451196;1724021339583881685;adnandani41;https://twitter.com/adnandani41/status/1724021339583881685
