"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 10 11:37:15 +0000 2023","1733813122958528771","erigo kalau jualan baju paling jago  tapi bila kirim baju lemah 😑 kloter 1 aja banyak yang belum di kirim   kloter 2 pasti lagi lama","0","11","1","48","in","1633064049297719297","1733813122958528771","BangJimmmmm","https://twitter.com/BangJimmmmm/status/1733813122958528771","",""
"Tue Dec 12 10:58:44 +0000 2023","1734528204227113005","Semangat kalian berdua live erigo nya @S_AshelJKT48 @S_FloraJKT48 https://t.co/hYyGQcCMLS","0","0","2","4","in","1672309230576209920","1734528204227113005","FarhanTama64172","https://twitter.com/FarhanTama64172/status/1734528204227113005","https://pbs.twimg.com/media/GBJIM8Ta8AA7Pet.jpg",""
"Fri Dec 08 10:15:54 +0000 2023","1733067873688723566","jauh jauh ke Jogja ehh malah beli ERIGO😭👍🏻 https://t.co/guO9YTPIAh","0","2","0","3","in","1230809773718638593","1733067873688723566","whoispunii","https://twitter.com/whoispunii/status/1733067873688723566","https://pbs.twimg.com/media/GA0YCYKaEAAF7AI.jpg","Bandung, Jawa Barat"
"Tue Dec 12 04:18:30 +0000 2023","1734427483532071098","Acara hari ini  Jessi &amp; Chika JKT48 akan Live di Shopee Erigo pada  tgl 12 Desember 2023  Pkl 15:00 WIB  Saksikan JKT48 Acara Shopee 12.12 Birthday Sale TV Show Pada  tgl 12 Desember 2023  Pkl 16:00 WIB  Olla &amp; Danella JKT48 akan live di IDN Live " Makan-Makanan warna warni"…","18","32","101","753","in","1394249284736864258","1734427483532071098","vvotanet","https://twitter.com/vvotanet/status/1734427483532071098","","CARA KIRIM MENFESS"
"Mon Dec 11 05:21:59 +0000 2023","1734081072047260054","@R_AdelJKT48 @erigostore Mau jam berapapun Mindel selalu siap menonton live erigo besok 😼🫡 https://t.co/04b231rfQY","0","1","21","746","in","1245950338449854465","1734079556682916236","Adellion_","https://twitter.com/Adellion_/status/1734081072047260054","https://pbs.twimg.com/media/GBCxi5UaIAEqV8m.jpg","Indonesia "
"Thu Dec 07 04:49:28 +0000 2023","1732623337195704454","Baru ngeh ada yang ngintip tuh di headernya si Erigo Erigo itu","0","3","33","1305","in","1046287552368402433","1732623337195704454","FreyanationID","https://twitter.com/FreyanationID/status/1732623337195704454","","Indonesia"
"Fri Dec 08 09:28:25 +0000 2023","1733055925106446547",""minimal erigo" nih erigoy https://t.co/RiZgAth6i2","0","1","0","0","in","1695637567780343808","1733055925106446547","Essemntials","https://twitter.com/Essemntials/status/1733055925106446547","https://pbs.twimg.com/media/GA0NLc7b0AAjl8z.jpg","Shania Gracia Harlan"
"Thu Dec 07 09:50:10 +0000 2023","1732699009033408949","aku ada beberapa barang yg mau di GA  mungkin ini khusus buat yg besok 2s atau mng bareng chika  barangnya ada  - kaos erigo collab versi terbaru - 2 keychain chika  - pc antar aja chika - pc ntsy zee - pc ntsy christy - ada 5 porsi makan bakso pak jan after mng  Pantengin terus","1","8","15","53","in","1213394884041691137","1732699009033408949","sebutsajaakia","https://twitter.com/sebutsajaakia/status/1732699009033408949","",""
"Wed Dec 13 10:03:27 +0000 2023","1734876678118420934",""olla hari ini presentasi  pake baju erigo punya dia ahh biar keliatan keren"","0","2","2","11","in","1455170377307488259","1734876678118420934","betaburannnnnn","https://twitter.com/betaburannnnnn/status/1734876678118420934","",""
"Sun Dec 10 09:44:09 +0000 2023","1733784659212071140","keren bgt dah erigo https://t.co/ewYxJH1RJg","1","1","0","0","in","1695637567780343808","1733784659212071140","Essemntials","https://twitter.com/Essemntials/status/1733784659212071140","https://pbs.twimg.com/media/GA-j87oa4AAbht4.jpg","Shania Gracia Harlan"
