"created_at,""id_str"",""full_text"",""quote_count"",""reply_count"",""retweet_count"",""favorite_count"",""lang"",""user_id_str"",""conversation_id_str"",""username"",""tweet_url"",""image_url"",""location""";;;
"Sun Dec 10 05:38:17 +0000 2023,""1733722784344551652"",""kaos kakinya😭 https://t.co/FIRSjtWfL9"",""0"",""2"",""7"",""280"",""in"",""1655571565990359041"",""1733722784344551652"",""cloudifay"",""https://twitter.com/cloudifay/status/1733722784344551652"",""https://pbs.twimg.com/ext_tw_video_thumb/1733722728270864384/pu/img/RYhu5DzK1-BPGCCq.jpg"",""""";;;
"Thu Dec 07 03:18:15 +0000 2023,""1732600378741711105"",""Kaos   sembako dan susunya diterima .  Angpao di masukan kedalam saku .  Tapi milihnya tetap AMIN.  Bapak ini sungguh cerdasx😄😂 https://t.co/lAgQm9qAil"",""33"",""84"",""477"",""1086"",""in"",""1415241204812316680"",""1732600378741711105"",""124hmahHastut11"",""https://twitter.com/124hmahHastut11/status/1732600378741711105"",""https://pbs.twimg.com/ext_tw_video_thumb/1732600361125548032/pu/img/1rXQ8_MvGaoSo-Cs.jpg"",""Kaki, Western Bahr el-Ghazal""";;;
"Tue Dec 12 16:15:38 +0000 2023,""1734607953859354793"",""kaos item selalu bikin cakep https://t.co/eailVTks5F"",""0"",""24"",""11"",""455"",""in"",""1709537759676047360"",""1734607953859354793"",""wouldbeminee"",""https://twitter.com/wouldbeminee/status/1734607953859354793"",""https://pbs.twimg.com/media/GBKQu3pasAAXLQF.jpg"",""Jakarta Barat, DKI Jakarta""";;;
"Sun Dec 10 12:32:44 +0000 2023,""1733827085259637105"",""Warna kaos udah sampe buluk 🙏🏼🥲 https://t.co/Z1RIZ2jswx"",""1"",""32"",""16"",""560"",""in"",""1616111815565672448"",""1733827085259637105"",""yumainyukkk"",""https://twitter.com/yumainyukkk/status/1733827085259637105"",""https://pbs.twimg.com/media/GA_Kio4bYAAD2dQ.jpg"",""Bekasi, jauhkan?""";;;
"Sat Dec 09 13:34:37 +0000 2023,""1733480271641501994"",""Kaos mah boleh apa aja  Yg penting hati pilih Anies 😁 Mantul si bapak 😁 https://t.co/iJRI1sMq8N"",""1"",""6"",""45"",""96"",""in"",""1070798687327186945"",""1733480271641501994"",""Karinbahary2"",""https://twitter.com/Karinbahary2/status/1733480271641501994"",""https://pbs.twimg.com/ext_tw_video_thumb/1733479749878517760/pu/img/cCk2-lrjtqV3NKOz.jpg"",""İstanbul, Türkiye""";;;
"Sun Dec 10 09:03:06 +0000 2023,""1733774328528093530"",""Jangan pernah percaya hasil survei Paslon 1 Anies-Muhaimin paling rendah? Sementara fakta di lapangan selalu terbanyak warga yang hadir  tanpa bagi-bagi kaos/sembako/amplop! Warga sadar  mendukung PERUBAHAN Indonesia lebih baik  AD1L MAKMUR. #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/NpZiqhzBk2"",""10"",""37"",""442"",""1320"",""in"",""129750289"",""1733774328528093530"",""ZAEffendy"",""https://twitter.com/ZAEffendy/status/1733774328528093530"",""https://pbs.twimg.com/ext_tw_video_thumb/1733773903783411712/pu/img/VCgsNf6QFVj82khe.jpg"",""South East Asia""";;;
"Thu Dec 14 11:39:00 +0000 2023,""1735263113312907689"",""Majalengka  sumberjaya  ada pembagian kaos 02. Sempat kita tolak  tapi akhirnya kita terima  gegara yg bagikan memohon untuk diterima karena mereka hanya terima job per100pcs  banyak yg nolak pak mohon di terima ya  dari pagi kita baru 12 yg terima kaosnya. Bilangnya kapok. https://t.co/O93j7L02WT"",""25"",""121"",""172"",""406"",""in"",""1708908078656376832"",""1735263113312907689"",""madu_shifa79670"",""https://twitter.com/madu_shifa79670/status/1735263113312907689"",""https://pbs.twimg.com/media/GBTiwq8a4AAyroL.jpg"",""Majalengka""";;;
"Thu Dec 14 13:59:44 +0000 2023,""1735298528296243612"",""Kalian yang sdh ikut Pemilu sejak 2009  2014  2019 dan akan ikut pemilu 2024  apa kesan2nya atas tiga pemilu sebelumnya? tulis di reply ya. ada giveaway 5 kaos ""konco kenthel"" utk 5 orang. https://t.co/y8rsHuCJ35"",""4"",""48"",""21"",""60"",""in"",""182699119"",""1735298528296243612"",""firmanyursak"",""https://twitter.com/firmanyursak/status/1735298528296243612"",""https://pbs.twimg.com/media/GBUEpbUbsAAI5Dq.jpg"",""Jakarta Capital Region""";;;
"Thu Dec 07 12:31:34 +0000 2023,""1732739625876430868"",""Di Desak Anies tadi ada anak muda yang pakai kaos Ganjar bertanya soal IKN ke pak Anies..  Inilah hebatnya pak Anies nggak membatasi siapa yang nanya! Keren kan?!   #AMINAjaDulu  #AniesMuhaimin2024  #DesakAnies https://t.co/8gJa3frrJU"",""15"",""38"",""511"",""1131"",""in"",""1334853481019056128"",""1732739625876430868"",""Mdy_Asmara1701"",""https://twitter.com/Mdy_Asmara1701/status/1732739625876430868"",""https://pbs.twimg.com/ext_tw_video_thumb/1732739386318741504/pu/img/IerLS5gEx3LCwwEs.jpg"",""Jakarta Capital Region""";;;
"Mon Dec 11 11:39:38 +0000 2023,""1734176107610665167"",""1000 pcs Kaos #GasssGanjarMahfud adalah berkat dari Tuhan melalui tangan tangan yang ingin Demokrasi kita sehat  bersih dan bermoral.   Terimakasih dari kami komunitas #GasssGanjarMahfud buat kalian semuanya  kiranya Tuhan memberkati segala usaha dan pekerjaan kalian  juga… https://t.co/UPVuz6QINA"",""7"",""104"",""209"",""645"",""in"",""1394912376814665730"",""1734176107610665167"",""BangPakat"",""https://twitter.com/BangPakat/status/1734176107610665167"",""https://pbs.twimg.com/media/GBEH-YIbYAAOOip.jpg"",""PALANGKARAYA""";;;
